date,player,my_bid,outcome,n_bids,value_at_bid,premium_pct,notes
2026-08-11,beñat turrientes,6892898,pending,1,6792897,1.47,free agent 1h24 left
2026-08-11,ferran jutgla,9295738,pending,1,9115738,1.97,rival listing 3d
