observed_at,source,season,date,home_name,away_name,home,away,home_goals,away_goals,home_xg,away_xg,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_corners,away_corners
2026-08-20T1514Z,football-data,2324,2024-01-27,Barcelona,Villarreal,barcelona,villarreal,3,5,,,22,9,10,6,10,0
2026-08-20T1514Z,football-data,2324,2024-01-27,Mallorca,Betis,,betis,0,1,,,14,8,1,2,5,4
2026-08-20T1514Z,football-data,2324,2024-01-28,Celta,Girona,celta,,0,1,,,10,15,5,6,5,7
2026-08-20T1514Z,football-data,2324,2024-01-28,Cadiz,Ath Bilbao,,athletic,0,0,,,9,8,2,0,6,8
2026-08-20T1514Z,football-data,2324,2024-01-28,Sevilla,Osasuna,sevilla,osasuna,1,1,,,10,11,5,4,2,4
2026-08-20T1514Z,football-data,2324,2024-01-28,Ath Madrid,Valencia,atletico,valencia,2,0,,,12,10,8,3,3,6
2026-08-20T1514Z,football-data,2324,2024-01-29,Getafe,Granada,getafe,,2,0,,,7,16,4,3,4,3
2026-08-20T1514Z,football-data,2324,2024-01-31,Barcelona,Osasuna,barcelona,osasuna,1,0,,,16,9,4,1,6,6
2026-08-20T1514Z,football-data,2324,2024-01-31,Ath Madrid,Vallecano,atletico,rayo-vallecano,2,1,,,8,10,3,2,5,6
2026-08-20T1514Z,football-data,2324,2024-02-01,Getafe,Real Madrid,getafe,real-madrid,0,2,,,10,16,2,9,2,6
2026-08-20T1514Z,football-data,2324,2024-02-02,Ath Bilbao,Mallorca,athletic,,4,0,,,13,6,6,2,6,2
2026-08-20T1514Z,football-data,2324,2024-02-03,Valencia,Almeria,valencia,,2,1,,,7,15,2,5,0,6
2026-08-20T1514Z,football-data,2324,2024-02-03,Granada,Las Palmas,,,1,1,,,3,16,1,6,2,9
2026-08-20T1514Z,football-data,2324,2024-02-03,Alaves,Barcelona,alaves,barcelona,1,3,,,13,8,2,5,14,5
2026-08-20T1514Z,football-data,2324,2024-02-03,Girona,Sociedad,,real-sociedad,0,0,,,11,11,3,2,3,4
2026-08-20T1514Z,football-data,2324,2024-02-04,Villarreal,Cadiz,villarreal,,0,0,,,19,8,4,2,13,2
2026-08-20T1514Z,football-data,2324,2024-02-04,Osasuna,Celta,osasuna,celta,0,3,,,18,6,1,5,9,1
2026-08-20T1514Z,football-data,2324,2024-02-04,Betis,Getafe,betis,getafe,1,1,,,9,11,3,2,3,5
2026-08-20T1514Z,football-data,2324,2024-02-04,Real Madrid,Ath Madrid,real-madrid,atletico,1,1,,,17,10,4,5,2,8
2026-08-20T1514Z,football-data,2324,2024-02-05,Vallecano,Sevilla,rayo-vallecano,sevilla,1,2,,,22,10,5,6,6,0
2026-08-20T1514Z,football-data,2324,2024-02-09,Cadiz,Betis,,betis,0,2,,,14,13,5,5,5,3
2026-08-20T1514Z,football-data,2324,2024-02-10,Alaves,Villarreal,alaves,villarreal,1,1,,,17,12,4,4,10,9
2026-08-20T1514Z,football-data,2324,2024-02-10,Sociedad,Osasuna,real-sociedad,osasuna,0,1,,,21,9,3,2,7,4
2026-08-20T1514Z,football-data,2324,2024-02-10,Real Madrid,Girona,real-madrid,,4,0,,,16,5,6,0,0,2
2026-08-20T1514Z,football-data,2324,2024-02-10,Las Palmas,Valencia,,valencia,2,0,,,8,7,3,1,5,0
2026-08-20T1514Z,football-data,2324,2024-02-11,Getafe,Celta,getafe,celta,3,2,,,11,9,4,4,0,4
2026-08-20T1514Z,football-data,2324,2024-02-11,Mallorca,Vallecano,,rayo-vallecano,2,1,,,8,11,5,4,5,1
2026-08-20T1514Z,football-data,2324,2024-02-11,Sevilla,Ath Madrid,sevilla,atletico,1,0,,,10,16,6,5,2,7
2026-08-20T1514Z,football-data,2324,2024-02-11,Barcelona,Granada,barcelona,,3,3,,,11,11,6,5,6,2
2026-08-20T1514Z,football-data,2324,2024-02-12,Almeria,Ath Bilbao,,athletic,0,0,,,10,12,4,4,4,10
2026-08-20T1514Z,football-data,2324,2024-02-16,Villarreal,Getafe,villarreal,getafe,1,1,,,20,11,7,2,8,3
2026-08-20T1514Z,football-data,2324,2024-02-17,Ath Madrid,Las Palmas,atletico,,5,0,,,13,11,7,2,3,5
2026-08-20T1514Z,football-data,2324,2024-02-17,Osasuna,Cadiz,osasuna,,2,0,,,11,5,4,1,5,4
2026-08-20T1514Z,football-data,2324,2024-02-17,Celta,Barcelona,celta,barcelona,1,2,,,13,14,4,4,2,5
2026-08-20T1514Z,football-data,2324,2024-02-17,Valencia,Sevilla,valencia,sevilla,0,0,,,14,1,4,1,7,2
2026-08-20T1514Z,football-data,2324,2024-02-18,Vallecano,Real Madrid,rayo-vallecano,real-madrid,1,1,,,8,11,3,4,4,10
2026-08-20T1514Z,football-data,2324,2024-02-18,Granada,Almeria,,,1,1,,,19,13,7,3,10,4
2026-08-20T1514Z,football-data,2324,2024-02-18,Mallorca,Sociedad,,real-sociedad,1,2,,,4,19,1,5,3,9
2026-08-20T1514Z,football-data,2324,2024-02-18,Betis,Alaves,betis,alaves,0,0,,,13,13,2,4,6,8
