observed_at,source,team_id,manager,player_id,player_name,player_name_full,position_id,market_value,points,buyout,buyout_until,player_status,player_team_id
2026-08-17T2318Z,laliga,38091967,miguel_autentico,1215,Turrientes,Beñat Turrientes,3,7073131,,7073131,2026-08-25T22:24:12+02:00,ok,25358138
2026-08-17T2318Z,laliga,38091967,miguel_autentico,2453,Agoumé,Lucien Agoumé,3,5760043,3,5891526,2026-08-28T22:24:08+02:00,ok,30254398
2026-08-17T2318Z,laliga,38091967,miguel_autentico,2713,Ionut Radu,Ionut Radu,1,38006426,,39655832,2026-08-28T22:24:08+02:00,ok,30254399
2026-08-17T2318Z,laliga,38091967,miguel_autentico,3099,Fornals,Pablo Fornals,3,57032839,,58220110,2026-08-29T22:24:04+02:00,ok,32308191
2026-08-17T2318Z,laliga,38066387,Magic Mike 333,3040,A. Herrero,Alfonso Herrero,1,8467463,,12467418,2026-08-24T22:24:38+02:00,ok,23888398
2026-08-17T2318Z,laliga,38066387,Magic Mike 333,1484,Guruzeta,Gorka Guruzeta,4,14430504,,21302826,2026-08-24T22:24:38+02:00,ok,23888399
2026-08-17T2318Z,laliga,38066387,Magic Mike 333,2400,Pere Milla,Pere Milla,4,9253704,2,16373543,2026-08-24T22:24:38+02:00,ok,23888400
2026-08-17T2318Z,laliga,38066387,Magic Mike 333,2784,Marc Bernal,Marc Bernal,3,7583748,,9308811,2026-08-24T22:24:38+02:00,ok,23888402
2026-08-17T2318Z,laliga,38066387,Magic Mike 333,3028,G. Puerta,Gustavo Puerta,3,13291657,5,19329093,2026-08-24T22:24:38+02:00,ok,23888403
2026-08-17T2318Z,laliga,38066387,Magic Mike 333,2394,Williot,Williot Swedberg,3,7856665,,13878081,2026-08-24T22:24:38+02:00,ok,23888404
2026-08-17T2318Z,laliga,38066387,Magic Mike 333,3127,Moscardo,Gabriel Silva Moscardo de Salles,3,8733363,,17682910,2026-08-24T22:24:38+02:00,ok,23888405
2026-08-17T2318Z,laliga,38066387,Magic Mike 333,2431,Brahim,Brahim Díaz,3,10863146,,18793931,2026-08-24T22:24:38+02:00,ok,23888406
2026-08-17T2318Z,laliga,38066387,Magic Mike 333,2985,Noubi,Lucas Noubi,2,13085869,3,18689875,2026-08-24T22:24:38+02:00,ok,23888408
2026-08-17T2318Z,laliga,38066387,Magic Mike 333,302,Gayá,José Luis Gayá Peña,2,10706541,,19035033,2026-08-24T22:24:38+02:00,ok,23888409
2026-08-17T2318Z,laliga,38066387,Magic Mike 333,2479,Kike Salas,Kike Salas,2,11642803,1,19364541,2026-08-24T22:24:38+02:00,suspended,23888410
2026-08-17T2318Z,laliga,38066387,Magic Mike 333,3059,Pastor,Álex Pastor,2,377106,,1000000,2026-08-24T22:24:38+02:00,ok,23888411
2026-08-17T2318Z,laliga,38066387,Magic Mike 333,2790,Cardoso,Fábio Rafael Rodrigues Cardoso,2,789821,,1000000,2026-08-25T22:24:12+02:00,ok,25358137
2026-08-17T2318Z,laliga,38066387,Magic Mike 333,2522,Raphinha,Raphael Dias Belloli,4,88386298,,88386298,2026-08-26T22:24:39+02:00,ok,26838904
2026-08-17T2318Z,laliga,38066387,Magic Mike 333,2619,Karrikaburu,Jon Karrikaburu,4,547663,,1000000,2026-08-26T22:24:39+02:00,ok,26838906
2026-08-17T2318Z,laliga,38066387,Magic Mike 333,1221,Gavi,Pablo Martín Páez Gavira,3,30940761,,35500000,2026-08-28T22:24:08+02:00,ok,30254397
2026-08-17T2318Z,laliga,38066616,Albert Laporta,2613,M. Dituro,Matías Dituro,1,7751180,5,11204821,2026-08-24T22:26:49+02:00,ok,23892279
2026-08-17T2318Z,laliga,38066616,Albert Laporta,2923,Raúl Moro,Raúl Moro,4,13930845,,21130341,2026-08-24T22:26:49+02:00,ok,23892280
2026-08-17T2318Z,laliga,38066616,Albert Laporta,2504,Ayoze,Ayoze Pérez,4,17704854,1,26411713,2026-08-24T22:26:49+02:00,ok,23892281
2026-08-17T2318Z,laliga,38066616,Albert Laporta,2603,Ferran Jutglà,Ferran Jutglà,4,9561951,,15152335,2026-08-24T22:26:49+02:00,ok,23892282
2026-08-17T2318Z,laliga,38066616,Albert Laporta,2418,Marc Roca,Marc Roca,3,5382179,,8477136,2026-08-24T22:26:49+02:00,ok,23892283
2026-08-17T2318Z,laliga,38066616,Albert Laporta,2607,Ilaix Moriba,Moriba Kourouma Kourouma,3,9827371,,17557620,2026-08-24T22:26:49+02:00,ok,23892284
2026-08-17T2318Z,laliga,38066616,Albert Laporta,1300,Camavinga,Eduardo Celmi Camavinga,3,9867495,,18947151,2026-08-24T22:26:49+02:00,ok,23892285
2026-08-17T2318Z,laliga,38066616,Albert Laporta,2470,Foyth,Juan Foyth,2,12898244,4,17975440,2026-08-24T22:26:49+02:00,ok,23892288
2026-08-17T2318Z,laliga,38066616,Albert Laporta,2415,Llorente ,Diego Llorente,2,13203971,,20786520,2026-08-24T22:26:49+02:00,ok,23892290
2026-08-17T2318Z,laliga,38066616,Albert Laporta,3089,Ez Abde,Abde Ezzalzouli,4,42927674,,49991863,2026-08-26T22:24:39+02:00,doubtful,26838908
2026-08-17T2318Z,laliga,38066616,Albert Laporta,1674,Arda Güler,Arda Güler,3,54547883,,54547883,2026-08-27T22:24:16+02:00,ok,28415426
2026-08-17T2318Z,laliga,38066616,Albert Laporta,3068,Cabrera,Leandro Cabrera,2,16532608,,17500002,2026-08-27T22:24:16+02:00,suspended,28415427
2026-08-17T2318Z,laliga,38066616,Albert Laporta,3022,Villalibre,Asier Villalibre,4,7235042,1,7235042,2026-08-27T22:24:16+02:00,ok,28415428
2026-08-17T2318Z,laliga,38066616,Albert Laporta,1959,Mouriño,Santiago Mouriño,2,38378600,-1,40516387,2026-08-29T22:24:04+02:00,ok,32308185
2026-08-17T2318Z,laliga,38066616,Albert Laporta,3151,Buonanotte,Facundo Buonanotte,3,6699023,,7331515,2026-08-29T22:24:04+02:00,ok,32308230
2026-08-17T2345Z,laliga,38099509,BurtonGM89,2700,Etta Eyong,Karl Edouard Blaise Etta Eyong,4,25505804,1,40853793,2026-08-25T14:07:38+02:00,ok,24479686
2026-08-17T2345Z,laliga,38099509,BurtonGM89,3069,Blanco,Antonio Blanco,3,14803449,4,25133218,2026-08-25T14:07:38+02:00,ok,24479691
2026-08-17T2345Z,laliga,38099509,BurtonGM89,2556,Buchanan,Tajon Buchanan,3,17724640,2,31895190,2026-08-25T14:07:38+02:00,ok,24479693
2026-08-17T2345Z,laliga,38099509,BurtonGM89,3120,De Haas,Justin de Haas,2,9129519,,14434821,2026-08-25T14:07:38+02:00,ok,24479694
2026-08-17T2345Z,laliga,38099509,BurtonGM89,3037,C. Puga,Carlos Puga,2,5102130,,9084328,2026-08-25T14:07:38+02:00,ok,24479695
2026-08-17T2345Z,laliga,38099509,BurtonGM89,3098,Q. Hartman,Quilindschy Hartman,2,8289301,,15988828,2026-08-25T14:07:38+02:00,ok,24479697
2026-08-17T2345Z,laliga,38099509,BurtonGM89,2614,C. Romero,Carlos Romero,2,44039617,3,45739000,2026-08-25T22:24:12+02:00,ok,25358140
2026-08-17T2345Z,laliga,38099509,BurtonGM89,2507,Dmitrovic,Marko Dmitrovic,1,38087702,11,40010000,2026-08-26T22:24:39+02:00,ok,26838903
2026-08-17T2345Z,laliga,38099509,BurtonGM89,1031,Comesaña,Santiago Comesaña,3,33956265,-1,35276000,2026-08-26T22:24:39+02:00,ok,26838907
2026-08-17T2345Z,laliga,38099509,BurtonGM89,2474,Denis Suárez,Denis Suárez,3,2423219,2,2580315,2026-08-27T22:24:16+02:00,ok,28415429
2026-08-17T2345Z,laliga,38099509,BurtonGM89,2315,Paredes,Aitor Paredes,2,5292134,,5350000,2026-08-30T22:24:29+02:00,ok,34082884
2026-08-17T2345Z,laliga,38099509,BurtonGM89,2530,Huijsen,Dean Huijsen,2,34050589,,34050589,2026-08-30T22:24:29+02:00,ok,34082885
2026-08-17T2345Z,laliga,38099509,BurtonGM89,1337,Tenaglia,Nahuel Tenaglia,2,15621725,17,15621725,2026-08-31T22:24:18+02:00,ok,35602270
2026-08-17T2345Z,laliga,38098179,SusoGattuso,2783,Szczesny,Wojciech Szczesny,1,2206146,,4268085,2026-08-25T13:49:58+02:00,ok,24453909
