observed_at,team_slug,player_name,player_slug,role,start_pct,status
2026-08-11T1439Z,barcelona,Pedri González,,starter,70,ok
2026-08-11T1439Z,barcelona,Eric Garcia,,starter,50,ok
2026-08-11T1439Z,barcelona,Raphinha,,starter,70,ok
2026-08-11T1439Z,barcelona,Jules Koundé,,sub,50,ok
2026-08-11T1439Z,barcelona,Pablo Gavi,,sub,50,ok
2026-08-11T1439Z,barcelona,Anthony Gordon,,sub,50,ok
2026-08-11T1439Z,barcelona,Dani Olmo,,sub,40,ok
2026-08-11T1439Z,barcelona,Xavi Espart,,sub,40,ok
2026-08-11T1439Z,barcelona,Andreas Christensen,,sub,40,ok
2026-08-11T1439Z,barcelona,Ferrán Torres,,sub,40,ok
2026-08-11T1439Z,barcelona,Hamza Abdelkarim,,sub,30,ok
2026-08-11T1439Z,barcelona,Wojciech Szczesny,,sub,20,ok
2026-08-11T1439Z,barcelona,Marc Casadó,,sub,0,ok
2026-08-11T1439Z,barcelona,Héctor Fort,,sub,0,ok
2026-08-11T1439Z,barcelona,Frenkie de Jong,,sub,0,ok
2026-08-11T1439Z,barcelona,Roony Bardghji,,sub,0,ok
2026-08-11T1439Z,betis,Cucho Hernández,,starter,60,ok
2026-08-11T1439Z,betis,Pablo Fornals,,starter,80,ok
2026-08-11T1439Z,betis,Héctor Bellerín,,starter,70,ok
2026-08-11T1439Z,betis,Diego Javier Llorente,,starter,60,ok
2026-08-11T1439Z,betis,Natan,,starter,80,ok
2026-08-11T1439Z,betis,Álvaro Valles,,starter,95,ok
2026-08-11T1439Z,betis,Marc Roca,,starter,60,ok
2026-08-11T1439Z,betis,Isco Alarcón,,starter,50,ok
2026-08-11T1439Z,betis,Antony,,starter,60,ok
2026-08-11T1439Z,betis,Fran García,,starter,80,ok
2026-08-11T1439Z,betis,Rodrigo Riquelme,,starter,70,ok
2026-08-11T1439Z,betis,Facundo Bernal,,sub,50,ok
2026-08-11T1439Z,betis,Nelson Deossa,,sub,40,ok
2026-08-11T1439Z,betis,Pablo García,,sub,40,ok
2026-08-11T1439Z,betis,Marc Bartra,,sub,40,ok
2026-08-11T1439Z,betis,Abde Ezzalzouli,,sub,30,ok
2026-08-11T1439Z,betis,Álvaro Fidalgo,,sub,30,ok
2026-08-11T1439Z,betis,Ángel Ortiz,,sub,30,ok
2026-08-11T1439Z,betis,Giovani Lo Celso,,sub,20,ok
2026-08-11T1439Z,betis,Junior Firpo,,sub,20,ok
2026-08-11T1439Z,betis,Valentín Gómez,,sub,20,ok
2026-08-11T1439Z,betis,José Antonio Morante,,sub,10,ok
2026-08-11T1439Z,betis,Manu González,,sub,5,ok
2026-08-11T1439Z,betis,Iker Losada,,sub,0,ok
2026-08-11T1439Z,betis,Gonzalo Petit,,sub,0,ok
2026-08-11T1439Z,betis,Aitor Ruibal,,sub,0,ok
2026-08-11T1439Z,betis,Diego Conde,,sub,0,ok
2026-08-11T1439Z,celta,Carl Starfelt,,starter,70,ok
2026-08-11T1439Z,celta,Sergio Carreira,,starter,70,ok
2026-08-11T1439Z,celta,Ionut Radu,,starter,90,ok
2026-08-11T1439Z,celta,Marcos Alonso,,starter,90,ok
2026-08-11T1439Z,celta,Aleix Febas,,starter,50,ok
2026-08-11T1439Z,celta,Javi Rodríguez,,starter,80,ok
2026-08-11T1439Z,celta,Javi Rueda,,starter,70,ok
2026-08-11T1439Z,celta,Miguel Román,,starter,70,ok
2026-08-11T1439Z,celta,Williot Swedberg,,starter,50,ok
2026-08-11T1439Z,celta,Hugo González,,starter,50,ok
2026-08-11T1439Z,celta,Ferran Jutglà,,starter,80,ok
2026-08-11T1439Z,celta,Hugo Álvarez,,sub,50,ok
2026-08-11T1439Z,celta,Ilaix Moriba,,sub,50,ok
2026-08-11T1439Z,celta,Iago Aspas,,sub,40,ok
2026-08-11T1439Z,celta,Javi Galán,,sub,30,ok
2026-08-11T1439Z,celta,Yoel Lago,,sub,30,ok
2026-08-11T1439Z,celta,Álvaro Núñez,,sub,30,ok
