observed_at,source,team_id,user_id,manager,position,previous_position,team_points,fixture_points,team_value,team_money,banned,starting_week
2026-08-19T0019Z,laliga,38066387,11877808,Magic Mike 333,4,5,11,11,234049655,,false,1
2026-08-19T0019Z,laliga,38066616,3480702,Albert Laporta,5,5,10,10,274723334,,false,1
2026-08-19T0027Z,laliga,38099509,11883172,BurtonGM89,1,5,24,24,253612268,,false,1
2026-08-19T0027Z,laliga,38098179,11882956,SusoGattuso,2,5,23,23,261018857,,false,1
2026-08-19T0027Z,laliga,38091967,11881989,miguel_autentico,3,5,17,17,236374060,-133023,false,1
2026-08-19T0027Z,laliga,38066387,11877808,Magic Mike 333,4,5,11,11,234049655,,false,1
2026-08-19T0027Z,laliga,38066616,3480702,Albert Laporta,5,5,10,10,274723334,,false,1
2026-08-19T0029Z,laliga,38099509,11883172,BurtonGM89,1,5,24,24,253612268,,false,1
2026-08-19T0029Z,laliga,38098179,11882956,SusoGattuso,2,5,23,23,261018857,,false,1
2026-08-19T0029Z,laliga,38091967,11881989,miguel_autentico,3,5,17,17,236374060,-133023,false,1
2026-08-19T0029Z,laliga,38066387,11877808,Magic Mike 333,4,5,11,11,234049655,,false,1
2026-08-19T0029Z,laliga,38066616,3480702,Albert Laporta,5,5,10,10,274723334,,false,1
2026-08-19T0911Z,laliga,38099509,11883172,BurtonGM89,1,5,24,24,253280692,,false,1
2026-08-19T0911Z,laliga,38098179,11882956,SusoGattuso,2,5,23,23,261018857,,false,1
2026-08-19T0911Z,laliga,38091967,11881989,miguel_autentico,3,5,17,17,236374060,-33023,false,1
2026-08-19T0911Z,laliga,38066387,11877808,Magic Mike 333,4,5,11,11,234049655,,false,1
2026-08-19T0911Z,laliga,38066616,3480702,Albert Laporta,5,5,10,10,274723334,,false,1
2026-08-19T0941Z,laliga,38099509,11883172,BurtonGM89,1,5,24,24,253280692,,false,1
2026-08-19T0941Z,laliga,38098179,11882956,SusoGattuso,2,5,23,23,261018857,,false,1
2026-08-19T0941Z,laliga,38091967,11881989,miguel_autentico,3,5,17,17,236374060,-33023,false,1
2026-08-19T0941Z,laliga,38066387,11877808,Magic Mike 333,4,5,11,11,234049655,,false,1
2026-08-19T0941Z,laliga,38066616,3480702,Albert Laporta,5,5,10,10,274723334,,false,1
2026-08-19T1018Z,laliga,38099509,11883172,BurtonGM89,1,5,24,24,253280692,,false,1
2026-08-19T1018Z,laliga,38098179,11882956,SusoGattuso,2,5,23,23,261018857,,false,1
2026-08-19T1018Z,laliga,38091967,11881989,miguel_autentico,3,5,17,17,236374060,-33023,false,1
2026-08-19T1018Z,laliga,38066387,11877808,Magic Mike 333,4,5,11,11,234049655,,false,1
2026-08-19T1018Z,laliga,38066616,3480702,Albert Laporta,5,5,10,10,274723334,,false,1
2026-08-19T1245Z,laliga,38099509,11883172,BurtonGM89,1,5,24,24,253280692,,false,1
2026-08-19T1245Z,laliga,38098179,11882956,SusoGattuso,2,5,23,23,261018857,,false,1
2026-08-19T1245Z,laliga,38091967,11881989,miguel_autentico,3,5,17,17,236374060,-33023,false,1
2026-08-19T1245Z,laliga,38066387,11877808,Magic Mike 333,4,5,11,11,234049655,,false,1
2026-08-19T1245Z,laliga,38066616,3480702,Albert Laporta,5,5,10,10,274723334,,false,1
2026-08-19T1454Z,laliga,38099509,11883172,BurtonGM89,1,5,24,24,253280692,,false,1
2026-08-19T1454Z,laliga,38098179,11882956,SusoGattuso,2,5,23,23,261018857,,false,1
2026-08-19T1454Z,laliga,38091967,11881989,miguel_autentico,3,5,17,17,236374060,-33023,false,1
2026-08-19T1454Z,laliga,38066387,11877808,Magic Mike 333,4,5,11,11,234049655,,false,1
2026-08-19T1454Z,laliga,38066616,3480702,Albert Laporta,5,5,10,10,274723334,,false,1
2026-08-19T1639Z,laliga,38099509,11883172,BurtonGM89,1,5,24,24,253103602,,false,1
2026-08-19T1639Z,laliga,38098179,11882956,SusoGattuso,2,5,23,23,261018857,,false,1
2026-08-19T1639Z,laliga,38091967,11881989,miguel_autentico,3,5,17,17,236156830,-33023,false,1
2026-08-19T1639Z,laliga,38066387,11877808,Magic Mike 333,4,5,11,11,234049655,,false,1
2026-08-19T1639Z,laliga,38066616,3480702,Albert Laporta,5,5,10,10,273311112,,false,1
2026-08-19T1750Z,laliga,38099509,11883172,BurtonGM89,1,5,24,24,253103602,,false,1
2026-08-19T1750Z,laliga,38098179,11882956,SusoGattuso,2,5,23,23,261018857,,false,1
2026-08-19T1750Z,laliga,38091967,11881989,miguel_autentico,3,5,17,17,236156830,-33023,false,1
2026-08-19T1750Z,laliga,38066387,11877808,Magic Mike 333,4,5,11,11,234049655,,false,1
2026-08-19T1750Z,laliga,38066616,3480702,Albert Laporta,5,5,10,10,217248186,,false,1
2026-08-19T1823Z,laliga,38099509,11883172,BurtonGM89,1,5,24,24,253103602,,false,1
2026-08-19T1823Z,laliga,38098179,11882956,SusoGattuso,2,5,23,23,261018857,,false,1
2026-08-19T1823Z,laliga,38091967,11881989,miguel_autentico,3,5,17,17,226716200,8906184,false,1
2026-08-19T1823Z,laliga,38066387,11877808,Magic Mike 333,4,5,11,11,234049655,,false,1
2026-08-19T1823Z,laliga,38066616,3480702,Albert Laporta,5,5,10,10,217248186,,false,1
2026-08-19T1904Z,laliga,38099509,11883172,BurtonGM89,1,5,24,24,253103602,,false,1
2026-08-19T1904Z,laliga,38098179,11882956,SusoGattuso,2,5,23,23,261018857,,false,1
2026-08-19T1904Z,laliga,38091967,11881989,miguel_autentico,3,5,17,17,226716200,8906184,false,1
2026-08-19T1904Z,laliga,38066387,11877808,Magic Mike 333,4,5,11,11,234049655,,false,1
2026-08-19T1904Z,laliga,38066616,3480702,Albert Laporta,5,5,10,10,217248186,,false,1
2026-08-19T2220Z,laliga,38091967,11881989,miguel_autentico,1,5,31,31,226716200,8906184,false,1
2026-08-19T2220Z,laliga,38099509,11883172,BurtonGM89,2,5,28,28,212053918,,false,1
2026-08-19T2220Z,laliga,38098179,11882956,SusoGattuso,3,5,26,26,236187519,,false,1
2026-08-19T2220Z,laliga,38066387,11877808,Magic Mike 333,4,5,15,15,237924445,,false,1
2026-08-19T2220Z,laliga,38066616,3480702,Albert Laporta,5,5,10,10,217248186,,false,1
2026-08-19T2221Z,laliga,38091967,11881989,miguel_autentico,1,5,31,31,226716200,8906184,false,1
2026-08-19T2221Z,laliga,38099509,11883172,BurtonGM89,2,5,28,28,212053918,,false,1
2026-08-19T2221Z,laliga,38098179,11882956,SusoGattuso,3,5,26,26,236187519,,false,1
2026-08-19T2221Z,laliga,38066387,11877808,Magic Mike 333,4,5,15,15,237924445,,false,1
2026-08-19T2221Z,laliga,38066616,3480702,Albert Laporta,5,5,10,10,217248186,,false,1
2026-08-19T2307Z,laliga,38091967,11881989,miguel_autentico,1,5,31,31,220039658,15980874,false,1
