observed_at,name,position,team_id,team,value,delta_1d,delta_pct_1d,slug
2026-08-11T1439Z,jofre torrents,defensa,3,Barcelona,602319,0.0,0.0,ficha
2026-08-11T1439Z,salvi esquivel,portero,2,Atlético,602292,0.0,0.0,ficha
2026-08-11T1439Z,alejandro rego,defensa,1,Athletic,5018825,0.0,0.0,ficha
2026-08-11T1439Z,federico redondo,mediocampista,21,Elche,940032,-19345.0,-2.0164127345142,ficha
2026-08-11T1439Z,david hancko,defensa,2,Atlético,35257793,814728.0,2.3654340866587,ficha
2026-08-11T1439Z,matias dituro,portero,21,Elche,6862150,139257.0,2.071385042124,ficha
2026-08-11T1439Z,jesus fortea,defensa,15,Real Madrid,802099,0.0,0.0,ficha
2026-08-11T1439Z,ferran jutgla,delantero,5,Celta,9117522,26121.0,0.28731545336082,ficha
2026-08-11T1439Z,martim neto,mediocampista,21,Elche,1743925,-24192.0,-1.3682352468756,ficha
2026-08-11T1439Z,valentin gomez,defensa,4,Betis,1888145,-32776.0,-1.7062648594086,ficha
2026-08-11T1439Z,nelson deossa,mediocampista,4,Betis,1946475,38345.0,2.0095590971265,ficha
2026-08-11T1439Z,junior firpo,defensa,4,Betis,3747605,-62414.0,-1.6381545603841,ficha
2026-08-11T1439Z,tyrhys dolan,delantero,7,Espanyol,6082748,-48465.0,-0.79046348577353,ficha
2026-08-11T1439Z,pedro bigas,defensa,21,Elche,5710288,-145667.0,-2.4875020385232,ficha
2026-08-11T1439Z,roger brugue,delantero,10,Levante,2563436,-73307.0,-2.7802102821549,ficha
2026-08-11T1439Z,jorge cabello,defensa,10,Levante,920355,-23650.0,-2.5052833406603,ficha
2026-08-11T1439Z,carlos alvarez,mediocampista,10,Levante,19405435,258544.0,1.3503184407328,ficha
2026-08-11T1439Z,oriol rey,mediocampista,10,Levante,787971,-17067.0,-2.1200241479284,ficha
2026-08-11T1439Z,jon gorrotxategi,mediocampista,16,Real Sociedad,7103003,-188425.0,-2.584198870235,ficha
2026-08-11T1439Z,filip ugrinic,mediocampista,18,Valencia,3929990,-64808.0,-1.622309813913,ficha
2026-08-11T1439Z,dani martinez,defensa,2,Atlético,418461,-2738.0,-0.65004902670709,ficha
