observed_at,source,match_id,team_slug,player_name,player_slug,role,minute
2026-08-16T2253Z,futbolfantasy,22425,levante,Mandi,aissa-mandi,starter,
2026-08-16T2253Z,futbolfantasy,22425,levante,De la Fuente,adrian-de-la-fuente,starter,
2026-08-16T2253Z,futbolfantasy,22425,levante,Manu Sánchez,manu-sanchez,starter,
2026-08-16T2253Z,futbolfantasy,22425,levante,Víctor García,victor-garcia-1,starter,75
2026-08-16T2253Z,futbolfantasy,22425,levante,Nacho Pérez,nacho-perez-1,starter,75
2026-08-16T2253Z,futbolfantasy,22425,levante,Oriol Rey,oriol-rey,starter,
2026-08-16T2253Z,futbolfantasy,22425,levante,C. Álvarez,carlos-lvarez,starter,45
2026-08-16T2253Z,futbolfantasy,22425,levante,Olasagasti,jon-ander-olasagasti,starter,
2026-08-16T2253Z,futbolfantasy,22425,levante,Cortés,paco-cortes,starter,45
2026-08-16T2253Z,futbolfantasy,22425,levante,Iván Romero,ivan-romero,starter,63
2026-08-16T2253Z,futbolfantasy,22425,levante,Cuñat Campos,pablo-campos,sub,
2026-08-16T2253Z,futbolfantasy,22425,levante,Galdin,igor-galdin,sub,
2026-08-16T2253Z,futbolfantasy,22425,levante,Toljan,jeremy-toljan,sub,75
2026-08-16T2253Z,futbolfantasy,22425,levante,Jorge Cabello,jorge-cabello,sub,
2026-08-16T2253Z,futbolfantasy,22425,levante,Marc Santos,marc-santos,sub,63
2026-08-16T2253Z,futbolfantasy,22425,levante,Tunde,kareem-tunde,sub,75
2026-08-16T2253Z,futbolfantasy,22425,levante,Bardeli,enzo-bardelli,sub,45
2026-08-16T2253Z,futbolfantasy,22425,levante,Calatrava,alberto-calatrava,sub,
2026-08-16T2253Z,futbolfantasy,22425,levante,Usedo,manel-usedo,sub,
2026-08-16T2253Z,futbolfantasy,22425,levante,Etta Eyong,etta-eyong,sub,45
2026-08-16T2253Z,futbolfantasy,22427,racing,Agirrezabala,julen-agirrezabala,starter,
2026-08-16T2253Z,futbolfantasy,22427,racing,Pablo Ramón,pablo-ramon,starter,76
2026-08-16T2253Z,futbolfantasy,22427,racing,Mantilla,lvaro-mantilla,starter,
2026-08-16T2253Z,futbolfantasy,22427,racing,Salinas,jorge-salinas,starter,
2026-08-16T2253Z,futbolfantasy,22427,racing,Pedro Felipe,pedro-felipe,starter,15
2026-08-16T2253Z,futbolfantasy,22427,racing,Canales,sergio-canales,starter,76
2026-08-16T2253Z,futbolfantasy,22427,racing,Iñigo Vicente,inigo-vicente,starter,
2026-08-16T2253Z,futbolfantasy,22427,racing,Puerta,gustavo-puerta,starter,
