observed_at,source,team_slug,player_name,player_slug,role,start_pct,status,note
2026-08-11T1439Z,futbolfantasy,atletico,Alexander Sorloth,alexander-sorloth,starter,70,ok,
2026-08-11T1439Z,futbolfantasy,atletico,Ademola Lookman,ademola-lookman,starter,80,ok,
2026-08-11T1439Z,futbolfantasy,atletico,Giuliano Simeone,giuliano-simeone,starter,70,ok,
2026-08-11T1439Z,futbolfantasy,atletico,Morten Hjulmand,morten-hjulmand,starter,70,ok,
2026-08-11T1439Z,futbolfantasy,atletico,Pablo Barrios,pablo-barrios,starter,60,ok,
2026-08-11T1439Z,futbolfantasy,atletico,David Hancko,david-hancko,starter,80,ok,
2026-08-11T1439Z,futbolfantasy,atletico,Marc Pubill,marc-pubill,starter,50,ok,
2026-08-11T1439Z,futbolfantasy,atletico,Marcos Llorente,marcos-llorente,starter,50,ok,
2026-08-11T1439Z,futbolfantasy,atletico,Julián Álvarez,julian-lvarez,sub,50,ok,
2026-08-11T1439Z,futbolfantasy,atletico,Rodrigo Mendoza,rodrigo-mendoza,sub,50,ok,
2026-08-11T1439Z,futbolfantasy,atletico,Robin Le Normand,robin-le-normand,sub,50,ok,
2026-08-11T1439Z,futbolfantasy,atletico,Koke Resurrección,koke-resurreccion,sub,40,ok,
2026-08-11T1439Z,futbolfantasy,atletico,Johnny Cardoso,johnny-cardoso,sub,30,ok,
2026-08-11T1439Z,futbolfantasy,atletico,Jorge Domínguez,jorge-dominguez,sub,30,ok,
2026-08-11T1439Z,futbolfantasy,atletico,Arnau Ortiz,arnau-ortiz,sub,30,ok,
2026-08-11T1439Z,futbolfantasy,atletico,Javier Boñar,javier-bonar,sub,20,ok,
2026-08-11T1439Z,futbolfantasy,atletico,Obed Vargas,obed-vargas,sub,20,ok,
2026-08-11T1439Z,futbolfantasy,atletico,José María Giménez,jose-maria-gimenez,sub,10,ok,
2026-08-11T1439Z,futbolfantasy,atletico,Kang-In Lee,lee-kang-in,sub,10,ok,
2026-08-11T1439Z,futbolfantasy,atletico,Carlos Martín,carlos-martin,sub,10,ok,
