observed_at,source,team_id,player_id,player_name,player_name_full,position_id,market_value
2026-08-23T2215Z,laliga,6,2639,M. Román,Miguel Román,3,5085264
2026-08-23T2215Z,laliga,17,2746,Miguel Sierra,Miguel Sierra,4,995499
2026-08-23T2215Z,laliga,18,3128,Guido Rodríguez,Guido Rodríguez,3,23542914
2026-08-23T2215Z,laliga,3,74,Yuri,Yuri Berchiche Izeta,2,11824903
2026-08-24T2202Z,laliga,15,1300,Camavinga,Eduardo Celmi Camavinga,3,8834558
2026-08-24T2202Z,laliga,4,2757,Gerard Martín,Gerard Martín,2,39492824
2026-08-24T2202Z,laliga,9,2776,A. Abqar,Abdel Abqar,2,7123572
2026-08-25T2026Z,laliga,5,2543,Natan,Natan Bernardo de Souza,2,37465084
2026-08-25T2026Z,laliga,8,3105,Cala,Álex Calatrava Torrado,4,4498179
2026-08-26T0455Z,laliga,2,255,Le Normand,Robin Le Normand,2,12865910
2026-08-26T0455Z,laliga,16,265,Zubeldia,Igor Zubeldia,2,9852526
2026-08-26T0455Z,laliga,13,637,Moncayola,Jon Moncayola,3,6671779
2026-08-27T0505Z,laliga,17,2759,Vlachodimos,Odysseas Vlachodimos,1,24013775
2026-08-27T0505Z,laliga,21,3078,T. Martínez,Toni Martínez,4,28184272
2026-08-27T2137Z,laliga,2,2480,Johnny,Johnny Cardoso,3,4432661
2026-08-27T2137Z,laliga,20,3086,Moleiro,Alberto Moleiro,3,59121106
2026-08-28T2155Z,laliga,5,2429,Fran García,Fran García,2,13710368
2026-08-28T2155Z,laliga,6,2603,Ferran Jutglà,Ferran Jutglà,4,8964574
2026-08-28T2155Z,laliga,13,2846,Arguibide,Iñigo Arguibide,2,666327
2026-08-28T2155Z,laliga,8,2930,Nuñez,Unai Núñez,2,6768414
2026-08-29T2106Z,laliga,13,2923,Raúl Moro,Raúl Moro,4,13458217
2026-08-29T2106Z,laliga,49,2999,Mantilla,Álvaro Mantilla,2,2262901
2026-08-29T2106Z,laliga,7,3190,Ali Houary,Ali Houary,4,1734444
2026-08-29T2106Z,laliga,13,680,Moi Gómez,Moi Gómez,3,1924794
2026-08-30T2111Z,laliga,15,2430,Valverde,Federico Valverde,3,72831375
2026-08-30T2111Z,laliga,49,3073,Andrés Martín,Andrés Martín,4,21412096
2026-08-30T2111Z,laliga,2,3193,Kang-In Lee,Kang-In Lee,3,53680803
2026-08-31T2215Z,laliga,3,2549,Navarro,Robert Navarro,3,1825993
2026-09-01T2039Z,laliga,9,3154,Enes Ünal,Enes Ünal,4,17627897
2026-09-02T0705Z,laliga,15,3129,Carlos Espí,Carlos Espí,4,14184402
2026-09-02T2243Z,laliga,7,2596,V. Chust,Victor Chust,2,5147117
2026-09-03T2206Z,laliga,7,2939,G. Villar,Gonzalo Villar,3,9788968
2026-09-03T2206Z,laliga,12,3035,Izan M.,Izan Merino,3,4776050
2026-09-03T2206Z,laliga,13,3084,Budimir,Ante Budimir,4,51174770
2026-09-04T2242Z,laliga,16,2444,Sucic,Luka Sucic,3,5995641
2026-09-04T2242Z,laliga,8,2520,Roberto,Roberto Fernández,4,21172780
2026-09-05T2029Z,laliga,11,2755,Ryan,Mathew Ryan,1,20401188
2026-09-07T2045Z,laliga,5,2415,Llorente ,Diego Llorente,2,10683838
2026-09-07T2045Z,laliga,11,2742,Nacho Perez,Nacho Pérez,2,1557554
2026-09-07T2045Z,laliga,12,3037,C. Puga,Carlos Puga,2,4469759
2026-09-07T2045Z,laliga,3,77,Yeray,Yeray Álvarez López,2,6929061
2026-09-08T2135Z,laliga,12,3042,Einar,Einar Galilea,2,4699654
2026-09-10T0505Z,laliga,8,3077,Edu Expósito,Edu Expósito,3,28355478
2026-09-10T2144Z,laliga,13,2005,Abel Bretones,Abel Bretones,2,9288983
2026-09-10T2144Z,laliga,26,2962,Luismi Cruz,Luismi Cruz,4,7997714
2026-09-11T2025Z,laliga,14,1056,Pedrosa,Adrià Pedrosa,2,2664986
2026-09-11T2025Z,laliga,5,2548,Riquelme,Rodrigo Riquelme,3,15400483
2026-09-11T2025Z,laliga,21,2600,Mariano,Mariano Díaz,4,14049928
2026-09-11T2025Z,laliga,6,2604,Carreira,Sergio Carreira,2,6737554
2026-09-11T2025Z,laliga,26,2973,Bil Nsongo,Bil Nsongo,4,7314643
2026-09-12T2209Z,laliga,17,1147,Juan Iglesias,Juan Antonio Iglesias Sánchez,2,11614558
2026-09-12T2209Z,laliga,9,2924,Zaid Romero,Zaid Romero,2,27892212
2026-09-14T0538Z,laliga,13,644,Sergio Herrera,Sergio Herrera Pirón,1,34576970
2026-09-15T0543Z,laliga,9,2511,R. Terrats,Ramon Terrats,3,8107075
2026-09-15T0543Z,laliga,2,2561,Hancko,Dávid Hancko,2,38046906
2026-09-15T0543Z,laliga,8,3161,Javi Hernández,Javi Hernández,3,15672257
