observed_at,source,team_id,player_id,player_name,player_name_full,position_id,market_value,player_status
2026-09-12T1543Z,laliga,18,3232,Van Oevelen,,1,1210506,ok
2026-09-12T1543Z,laliga,5,3233,A. De Pablo,,1,700000,out_of_league
2026-09-12T1543Z,laliga,4,3251,Livakovic,,1,2683751,ok
2026-09-12T1543Z,laliga,14,3267,Emil Audero,,1,5306629,ok
2026-09-12T1543Z,laliga,2,67,Marcos Llorente,,2,40981255,ok
2026-09-12T1543Z,laliga,3,74,Yuri,,2,13767328,ok
2026-09-12T1543Z,laliga,3,77,Yeray,,2,7003879,ok
2026-09-12T1543Z,laliga,5,121,Bartra,,2,36512810,ok
2026-09-12T1543Z,laliga,2,255,Le Normand,,2,10007294,ok
2026-09-12T1543Z,laliga,16,265,Zubeldia,,2,10306569,ok
2026-09-12T1543Z,laliga,18,302,Gayá,,2,7784044,ok
2026-09-12T1543Z,laliga,9,673,Domingos Duarte,,2,8021003,out_of_league
2026-09-12T1543Z,laliga,13,1033,Catena,,2,36481362,ok
2026-09-12T1543Z,laliga,14,1056,Pedrosa,,2,2612179,ok
2026-09-12T1543Z,laliga,14,1121,Balliu,,2,657567,injured
2026-09-12T1543Z,laliga,17,1147,Juan Iglesias,,2,11614558,ok
2026-09-12T1543Z,laliga,4,1218,Álex Balde,,2,13386149,ok
2026-09-12T1543Z,laliga,17,1251,Carmona,,2,2265479,ok
2026-09-12T1543Z,laliga,21,1337,Tenaglia,,2,33486599,ok
2026-09-12T1543Z,laliga,14,1535,Chavarría,,2,17526407,out_of_league
2026-09-12T1543Z,laliga,20,1614,Cardona,,2,2437294,ok
2026-09-12T1543Z,laliga,4,1775,Pau Cubarsí,,2,65930716,ok
2026-09-12T1543Z,laliga,13,1890,Boyomo,,2,16861466,ok
2026-09-12T1543Z,laliga,8,1930,El Hilali,,2,13818389,ok
2026-09-12T1543Z,laliga,20,1959,Mouriño,,2,20329762,ok
2026-09-12T1543Z,laliga,16,1989,Sergio Gómez,,2,15759727,ok
2026-09-12T1543Z,laliga,18,1991,Tárrega,,2,10031999,injured
2026-09-12T1543Z,laliga,13,2005,Abel Bretones,,2,9579727,ok
2026-09-12T1543Z,laliga,6,2074,Javi Rodríguez,,2,9408857,ok
2026-09-12T1543Z,laliga,15,2146,Asencio,,2,2129120,ok
2026-09-12T1543Z,laliga,21,2178,F. Garcés,,2,475611,suspended
2026-09-12T1543Z,laliga,6,2206,Yoel Lago,,2,3655597,ok
2026-09-12T1543Z,laliga,7,2293,John C.,,2,555213,out_of_league
2026-09-12T1543Z,laliga,7,2294,R.P. Bigas,,2,2544261,ok
2026-09-12T1543Z,laliga,11,2300,Dela,,2,18387928,ok
2026-09-12T1543Z,laliga,3,2314,Vivian,,2,4801008,injured
2026-09-12T1543Z,laliga,3,2315,Paredes,,2,12320897,ok
2026-09-12T1543Z,laliga,8,2316,Gorosabel,,2,1189104,injured
2026-09-12T1543Z,laliga,2,2323,Lenglet,,2,2906079,out_of_league
2026-09-12T1543Z,laliga,26,2324,Giménez,,2,7098134,ok
2026-09-12T1543Z,laliga,2,2325,Molina,,2,3996790,out_of_league
2026-09-12T1543Z,laliga,6,2329,Javi Galán,,2,8704389,ok
2026-09-12T1543Z,laliga,13,2334,Juan Cruz,,2,3011603,out_of_league
2026-09-12T1543Z,laliga,3,2335,Areso,,2,3913520,ok
2026-09-12T1543Z,laliga,13,2336,Herrando,,2,1662258,injured
2026-09-12T1543Z,laliga,6,2346,Álvaro Núñez,,2,2648253,ok
2026-09-12T1543Z,laliga,4,2353,Christensen,,2,8061582,ok
2026-09-12T1543Z,laliga,4,2354,Eric,,2,48835681,ok
2026-09-12T1543Z,laliga,4,2355,Kounde,,2,29126116,ok
2026-09-12T1543Z,laliga,4,2356,R. Araujo,,2,4635257,out_of_league
2026-09-12T1543Z,laliga,13,2366,Diego Rico,,2,2598905,ok
2026-09-12T1543Z,laliga,14,2379,A. Mumin,,2,6022356,out_of_league
2026-09-12T1543Z,laliga,14,2380,Pacha,,2,3513040,out_of_league
2026-09-12T1543Z,laliga,6,2389,O. Mingueza,,2,15056479,out_of_league
2026-09-12T1543Z,laliga,6,2390,Starfelt,,2,10489573,ok
2026-09-12T1543Z,laliga,6,2391,Ristic,,2,903386,out_of_league
2026-09-12T1543Z,laliga,6,2392,C. Dominguez,,2,683567,out_of_league
2026-09-12T1543Z,laliga,12,2398,F. Calero,,2,1275688,injured
2026-09-12T1543Z,laliga,18,2403,Copete,,2,897869,injured
2026-09-12T1543Z,laliga,5,2414,Bellerín,,2,16944675,ok
2026-09-12T1543Z,laliga,5,2415,Llorente ,,2,9569710,ok
2026-09-12T1543Z,laliga,15,2425,F. Mendy,,2,516608,injured
2026-09-12T1543Z,laliga,15,2426,E. Militão,,2,5677274,injured
2026-09-12T1543Z,laliga,15,2428,Rüdiger,,2,21324474,ok
2026-09-12T1543Z,laliga,5,2429,Fran García,,2,26706207,ok
2026-09-12T1543Z,laliga,16,2437,Aritz,,2,3713786,out_of_league
2026-09-12T1543Z,laliga,16,2438,Aihen,,2,768456,ok
2026-09-12T1543Z,laliga,16,2439,Pacheco,,2,1987695,ok
2026-09-12T1543Z,laliga,16,2442,Odriozola,,2,469641,injured
2026-09-12T1543Z,laliga,16,2443,Aramburu,,2,18547914,ok
2026-09-12T1543Z,laliga,17,2449,Marcao,,2,482537,ok
2026-09-12T1543Z,laliga,17,2450,Nianzou,,2,1673795,out_of_league
2026-09-12T1543Z,laliga,18,2458,Diakhaby,,2,3655192,injured
2026-09-12T1543Z,laliga,18,2461,J. Vázquez,,2,1830521,ok
2026-09-12T1543Z,laliga,18,2462,Cömert,,2,3714144,out_of_league
2026-09-12T1543Z,laliga,20,2469,Costa,,2,700194,ok
2026-09-12T1543Z,laliga,20,2470,Foyth,,2,14944268,injured
2026-09-12T1543Z,laliga,20,2471,Kambwala,,2,898601,out_of_league
2026-09-12T1543Z,laliga,17,2479,Kike Salas,,2,8078468,ok
2026-09-12T1543Z,laliga,18,2496,Thierry Correia,,2,8030584,out_of_league
2026-09-12T1543Z,laliga,12,2525,Salinas,,2,799871,ok
2026-09-12T1543Z,laliga,8,2526,Miguel Rubio,,2,511776,out_of_league
2026-09-12T1543Z,laliga,6,2528,Aidoo Jr,,2,2810540,out_of_league
2026-09-12T1543Z,laliga,7,2529,Rubén S.,,2,425703,ok
2026-09-12T1543Z,laliga,15,2530,Huijsen,,2,57089066,ok
2026-09-12T1543Z,laliga,15,2531,Trent,,2,22229805,ok
2026-09-12T1543Z,laliga,2,2532,Ruggeri,,2,5846056,out_of_league
2026-09-12T1543Z,laliga,15,2533,Á. Carreras,,2,8272171,ok
2026-09-12T1543Z,laliga,3,2538,I. Lekue,,2,3183051,out_of_league
2026-09-12T1543Z,laliga,20,2542,Rafa Marín,,2,9647743,out_of_league
2026-09-12T1543Z,laliga,5,2543,Natan,,2,30656582,ok
2026-09-12T1543Z,laliga,3,2545,Adama,,2,447202,out_of_league
2026-09-12T1543Z,laliga,18,2546,Foulquier,,2,1060401,injured
2026-09-12T1543Z,laliga,14,2550,Luiz Felipe,,2,1647858,injured
2026-09-12T1543Z,laliga,21,2552,Jonny Otto,,2,12279938,ok
2026-09-12T1543Z,laliga,13,2559,V. Rosier,,2,2451672,injured
2026-09-12T1543Z,laliga,2,2561,Hancko,,2,38880433,ok
2026-09-12T1543Z,laliga,2,2562,Marc Pubill,,2,45171876,ok
2026-09-12T1543Z,laliga,21,2568,Youssef,,2,927415,ok
2026-09-12T1543Z,laliga,15,2572,Fortea,,2,802099,out_of_league
2026-09-12T1543Z,laliga,15,2573,Diego Aguado,,2,774109,out_of_league
2026-09-12T1543Z,laliga,2,2585,Kostis,,2,702674,out_of_league
2026-09-12T1543Z,laliga,7,2596,V. Chust,,2,4653004,ok
2026-09-12T1543Z,laliga,6,2604,Carreira,,2,6853758,ok
2026-09-12T1543Z,laliga,21,2606,V. Parada,,2,3775868,out_of_league
2026-09-12T1543Z,laliga,5,2609,Valentín Gómez,,2,1716522,ok
2026-09-12T1543Z,laliga,20,2614,C. Romero,,2,25297173,doubtful
2026-09-12T1543Z,laliga,11,2624,Manu Sánchez,,2,5324834,ok
2026-09-12T1543Z,laliga,5,2627,Junior,,2,1716750,ok
2026-09-12T1543Z,laliga,11,2629,Elgezabal,,2,1420696,out_of_league
2026-09-12T1543Z,laliga,5,2630,Rodríguez,,2,9033741,out_of_league
2026-09-12T1543Z,laliga,7,2631,Léo Pétrot,,2,3011625,out_of_league
2026-09-12T1543Z,laliga,3,2645,Rego,,2,2308226,ok
2026-09-12T1543Z,laliga,4,2648,Jofre,,2,602319,out_of_league
2026-09-12T1543Z,laliga,6,2653,Manuel Fernández,,2,396748,out_of_league
2026-09-12T1543Z,laliga,16,2656,Jon Martin,,2,25408133,suspended
2026-09-12T1543Z,laliga,9,2661,Djene,,2,15874244,ok
2026-09-12T1543Z,laliga,9,2663,Ismael,,2,1104254,out_of_league
2026-09-12T1543Z,laliga,11,2669,Matías Moreno,,2,9033768,out_of_league
2026-09-12T1543Z,laliga,11,2670,Víctor G.,,2,1058176,ok
2026-09-12T1543Z,laliga,11,2671,Jeremy Toljan,,2,2261288,ok
2026-09-12T1543Z,laliga,14,2678,J. Vertrouwd,,2,699897,injured
2026-09-12T1543Z,laliga,17,2680,A. Castrín,,2,3862840,ok
2026-09-12T1543Z,laliga,18,2692,Rubo,,2,602292,out_of_league
2026-09-12T1543Z,laliga,20,2698,Pau Navarro,,2,4456812,ok
2026-09-12T1543Z,laliga,9,2699,J. Ives Valou,,2,473410,ok
2026-09-12T1543Z,laliga,5,2711,Á. Ortiz,,2,1091426,ok
2026-09-12T1543Z,laliga,6,2714,Javi Rueda,,2,3888264,ok
2026-09-12T1543Z,laliga,7,2716,Albert,,2,803099,out_of_league
2026-09-12T1543Z,laliga,13,2720,R. Chasco,,2,501932,out_of_league
2026-09-12T1543Z,laliga,14,2725,De Las Sias,,2,473410,ok
2026-09-12T1543Z,laliga,20,2728,Renato Veiga,,2,24127362,ok
2026-09-12T1543Z,laliga,9,2736,Davinchi,,2,1647697,ok
2026-09-12T1543Z,laliga,3,2737,Jon De Luis,,2,602257,out_of_league
2026-09-12T1543Z,laliga,9,2740,Vilaplana,,2,582013,out_of_league
2026-09-12T1543Z,laliga,11,2741,Martin Krug,,2,602249,out_of_league
2026-09-12T1543Z,laliga,11,2742,Nacho Perez,,2,1999430,ok
2026-09-12T1543Z,laliga,17,2753,Suazo,,2,4304925,ok
2026-09-12T1543Z,laliga,4,2757,Gerard Martín,,2,52062418,ok
2026-09-12T1543Z,laliga,11,2767,Alan Matturro,,2,2411763,out_of_league
2026-09-12T1543Z,laliga,9,2774,Kiko F.,,2,2304633,injured
2026-09-12T1543Z,laliga,9,2776,A. Abqar,,2,4472881,injured
2026-09-12T1543Z,laliga,8,2785,Riedel,,2,5214142,ok
2026-09-12T1543Z,laliga,17,2789,Oso,,2,13827919,out_of_league
2026-09-12T1543Z,laliga,17,2790,Cardoso,,2,559487,ok
2026-09-12T1543Z,laliga,18,2795,Navarro,,2,501909,out_of_league
2026-09-12T1543Z,laliga,15,2807,D. Jiménez,,2,602248,out_of_league
2026-09-12T1543Z,laliga,5,2811,Bladi,,2,602248,out_of_league
2026-09-12T1543Z,laliga,9,2817,Nyom,,2,1505801,out_of_league
2026-09-12T1543Z,laliga,16,2818,Hector Fort,,2,3443512,ok
2026-09-12T1543Z,laliga,3,2827,Monreal,,2,602257,out_of_league
2026-09-12T1543Z,laliga,21,2831,Ballestero,,2,602316,out_of_league
2026-09-12T1543Z,laliga,14,2833,N. Mendy,,2,6022356,out_of_league
2026-09-12T1543Z,laliga,16,2834,Beitia,,2,452558,ok
2026-09-12T1543Z,laliga,20,2839,Sierra,,2,602292,out_of_league
2026-09-12T1543Z,laliga,4,2843,Xavi Espart,,2,19268269,ok
2026-09-12T1543Z,laliga,7,2844,David Delgado,,2,602324,out_of_league
2026-09-12T1543Z,laliga,13,2846,Arguibide,,2,3367550,ok
2026-09-12T1543Z,laliga,6,2848,P. Meixus,,2,485372,out_of_league
2026-09-12T1543Z,laliga,21,2851,Álvaro García,,2,501929,out_of_league
2026-09-12T1543Z,laliga,21,2852,Egoitz M.l.,,2,602316,out_of_league
2026-09-12T1543Z,laliga,9,2854,Lucas Laso,,2,501932,out_of_league
2026-09-12T1543Z,laliga,9,2855,Yassin T.,,2,501932,out_of_league
2026-09-12T1543Z,laliga,11,2858,Huseini,,2,501874,out_of_league
2026-09-12T1543Z,laliga,18,2863,Panach,,2,501909,out_of_league
