player_id,name,club_id,ff_slug,af_slug,app_id,understat_id,app_names
12860,pau navarro,villarreal,pau-navarro,435552,2698,12914,Pau Navarro
12870,carlos espi,real madrid,carlos-espi,,3129,13769,Carlos Espí
12878,buba sangare,elche,buba-sangare,446067,,12870,
12879,jorge cabello,levante,jorge-cabello,,,13766,
12883,ian forns,betis,,,,,
12891,llorenç serred,espanyol,-llorenc-serred,,3171,,Llorenç
12917,alberto risco,getafe,alberto-risco,,,12566,
12918,rafel bauza,espanyol,rafel-bauza,,,,
12922,adam boayar,elche,adam-boayar,,,,
12925,aitor mañas,alaves,aitor-manas,,2887,14222,Mañas
12975,yassin tallal,getafe,,,,,
12990,nordin al lal,elche,nordin-al-lal,,,,
12993,alvaro garcia,villarreal,,,,,
13007,vicent abril,valencia,,,,,
13035,javi rueda,celta,javi-rueda,,2714,,Javi Rueda
13036,yoel lago,celta,yoel-lago,329722,,12642,
13040,jon balda,real sociedad,jon-balda,,,,
13119,vanja drkusic,espanyol,vanja-drkusic,,,10449,
13145,paco cortes,levante,paco-cortes,,,13770,
132,sergio canales,racing,sergio-canales,,3125,2571,Canales
13440,tani oluwaseyi,villarreal,tani-oluwaseyi,,,13996,
13564,endrick,real madrid,endrick,,,12884,
13748,martin krug,levante,,,,,
13780,christantus uche,getafe,chrisantus-uche,,,12726,
13801,pelayo fernandez,rayo,pelayo-fernandez,,,12864,
13808,miguel roman,celta,miguel-roman,333502,2639,13620,M. Román
13811,etienne eto&#039;o,rayo,,,,,
13812,sergio jose lozano,rayo,,,3178,,Lozano
13813,adrian molina,rayo,,,,,
13814,marco de la sias,rayo,,,,,
13822,pablo garcia,betis,pablo-garcia-1,443163,,13376,
13830,maroan sannadi,athletic,maroan-sannadi,,,13417,
13859,guille fernandez,barcelona,,,,,
13860,toni fernandez,barcelona,,,,13110,
13864,marc bernal,barcelona,marc-bernal,433396,2784,12820,Marc Bernal
13865,nico guillen,sevilla,nico-guillen,,3175,14607,Guillén
13871,taufik seidu,atletico,,,,14080,
13872,geronimo spina,atletico,,,,,
