observed_at,season,player_name,player_name_full,team,points,games,avg
2026-08-11T1439Z,2025-26,Serrano,Javi Serrano,Atlético,0,0,0.000
2026-08-11T1439Z,2025-26,Vargas,Obed Vargas,Atlético,39,12,3.250
2026-08-11T1439Z,2025-26,Moreno,Álvaro Moreno,Atlético,0,0,0.000
2026-08-11T1439Z,2025-26,Dani Rubio,Dani Rubio,Atlético,0,0,0.000
2026-08-11T1439Z,2025-26,Morcillo,Javi Morcillo,Atlético,7,5,1.400
2026-08-11T1439Z,2025-26,Spina,Gerónimo Spina,Atlético,0,0,0.000
2026-08-11T1439Z,2025-26,Cubo,Miguel Cubo,Atlético,0,2,0.000
2026-08-11T1439Z,2025-26,Olmo,Dani Olmo,Barcelona,230,33,6.970
2026-08-11T1439Z,2025-26,A. Christensen,Andreas Christensen,Barcelona,28,13,2.150
2026-08-11T1439Z,2025-26,Rashford,Marcus Rashford,Barcelona,186,32,5.810
2026-08-11T1439Z,2025-26,Raphinha,Raphinha,Barcelona,179,22,8.140
2026-08-11T1439Z,2025-26,Ferran,Ferrán Torres,Barcelona,208,33,6.300
2026-08-11T1439Z,2025-26,F. de Jong,Frenkie de Jong,Barcelona,134,25,5.360
2026-08-11T1439Z,2025-26,Koundé,Jules Koundé,Barcelona,154,30,5.130
2026-08-11T1439Z,2025-26,Araújo,Ronald Araújo,Barcelona,86,24,3.580
2026-08-11T1439Z,2025-26,Pedri,Pedri González,Barcelona,217,29,7.480
2026-08-11T1439Z,2025-26,Joan Garcia,Joan Garcia,Barcelona,258,30,8.600
2026-08-11T1439Z,2025-26,Eric Garcia,Eric Garcia,Barcelona,201,34,5.910
2026-08-11T1439Z,2025-26,Gavi,Pablo Gavi,Barcelona,35,11,3.180
2026-08-11T1439Z,2025-26,Balde,Alejandro Balde,Barcelona,116,28,4.140
2026-08-11T1439Z,2025-26,Casadó,Marc Casadó,Barcelona,67,24,2.790
2026-08-11T1439Z,2025-26,Yamal,Lamine Yamal,Barcelona,330,28,11.790
2026-08-11T1439Z,2025-26,Cubarsí,Pau Cubarsí,Barcelona,187,31,6.030
2026-08-11T1439Z,2025-26,Kochen,Diego Kochen,Barcelona,0,0,0.000
2026-08-11T1439Z,2025-26,Fermín,Fermín López,Barcelona,213,30,7.100
2026-08-11T1439Z,2025-26,Guille,Guille Fernández,Barcelona,0,0,0.000
2026-08-11T1439Z,2025-26,Toni Fernández,Toni Fernández,Barcelona,2,1,2.000
2026-08-11T1439Z,2025-26,Torrents,Jofre Torrents,Barcelona,3,3,1.000
2026-08-11T1439Z,2025-26,Dro Fernández,Dro Fernández,Barcelona,7,4,1.750
2026-08-11T1439Z,2025-26,Lewandowski,Robert Lewandowski,Barcelona,169,31,5.450
2026-08-11T1439Z,2025-26,Szczesny,Wojciech Szczesny,Barcelona,41,8,5.130
2026-08-11T1439Z,2025-26,Martín,Gerard Martín,Barcelona,161,32,5.030
2026-08-11T1439Z,2025-26,Bardghji,Roony Bardghji,Barcelona,72,21,3.430
2026-08-11T1439Z,2025-26,Bernal,Marc Bernal,Barcelona,79,22,3.590
2026-08-11T1439Z,2025-26,Aller,Eder Aller,Barcelona,0,0,0.000
2026-08-11T1439Z,2025-26,Juan Hernández,Juan Hernández,Barcelona,0,0,0.000
2026-08-11T1439Z,2025-26,Espart,Xavi Espart,Barcelona,5,4,1.250
2026-08-11T1439Z,2025-26,Marqués,Tomás Marqués,Barcelona,2,2,1.000
2026-08-11T1439Z,2025-26,Dani Rodríguez,Dani Rodríguez,Barcelona,0,0,0.000
2026-08-11T1439Z,2025-26,Cancelo,Joao Cancelo,Barcelona,117,16,7.310
2026-08-11T1439Z,2025-26,Cortés,Álvaro Cortés,Barcelona,0,1,0.000
2026-08-11T1439Z,2025-26,Bartra,Marc Bartra,Betis,140,25,5.600
2026-08-11T1439Z,2025-26,Adrián,Adrián San Miguel,Betis,10,1,10.000
2026-08-11T1439Z,2025-26,Pau López,Pau López,Betis,61,9,6.780
