observed_at,manager,formation,xpts,unmatched,players
2026-08-15T10:14Z,BurtonGM89,5-4-1,31.45,0,marko dmitrovic:5.74|carlos romero:4.15|justin de haas:2.80|quilindschy hartman:2.00|carlos puga:1.96|giacomo quagliata:1.40|santi comesaña:4.45|antonio blanco:3.92|denis suarez:1.70|tajon buchanan:1.30|karl etta eyong:2.04
2026-08-15T10:14Z,Magic Mike 333,3-4-3,32.45,0,alfonso herrero:3.49|kike salas:4.29|jose gaya:2.50|lucas noubi:2.24|brahim diaz:2.30|gustavo puerta:2.27|williot swedberg:2.24|marc bernal:2.23|raphinha:4.98|gorka guruzeta:3.71|pere milla:2.20
2026-08-15T10:14Z,SusoGattuso,4-4-2,29.37,0,wojciech szczesny:1.14|yuri berchiche:3.41|cesar tarrega:3.18|abdel abqar:2.60|jon aramburu:2.14|alvaro garcia:3.81|aimar oroz:2.75|lorenzo amatucci:2.27|izan merino:1.99|giuliano simeone:3.67|andres martin:2.41
2026-08-15T10:50Z,miguel_autentico,4-5-1,35.37,0,ionut radu:5.94|carl starfelt:3.07|igor zubeldia:2.96|robin le normand:2.62|omar el hilali:2.42|jon moncayola:3.92|lucien agoume:3.15|pepelu:3.01|ruben garcia:2.88|iñigo ruiz de galarreta:2.69|iñigo vicente:2.71
2026-08-15T10:50Z,Albert Laporta,3-4-3,32.62,0,matias dituro:5.60|leandro cabrera:4.10|diego javier llorente:2.84|juan foyth:2.26|arda guler:3.90|marc roca:2.57|ilaix moriba:1.93|eduardo camavinga:1.24|ferran jutgla:3.71|raul moro:2.36|asier villalibre:2.11
2026-08-15T10:50Z,BurtonGM89,5-4-1,31.45,0,marko dmitrovic:5.74|carlos romero:4.15|justin de haas:2.80|quilindschy hartman:2.00|carlos puga:1.96|giacomo quagliata:1.40|santi comesaña:4.45|antonio blanco:3.92|denis suarez:1.70|tajon buchanan:1.30|karl etta eyong:2.04
2026-08-15T10:50Z,Magic Mike 333,3-4-3,32.45,0,alfonso herrero:3.49|kike salas:4.29|jose gaya:2.50|lucas noubi:2.24|brahim diaz:2.30|gustavo puerta:2.27|williot swedberg:2.24|marc bernal:2.23|raphinha:4.98|gorka guruzeta:3.71|pere milla:2.20
2026-08-15T10:50Z,SusoGattuso,4-4-2,29.37,0,wojciech szczesny:1.14|yuri berchiche:3.41|cesar tarrega:3.18|abdel abqar:2.60|jon aramburu:2.14|alvaro garcia:3.81|aimar oroz:2.75|lorenzo amatucci:2.27|izan merino:1.99|giuliano simeone:3.67|andres martin:2.41
2026-08-15T15:49Z,miguel_autentico,4-5-1,35.37,0,ionut radu:5.94|carl starfelt:3.07|igor zubeldia:2.96|robin le normand:2.62|omar el hilali:2.42|jon moncayola:3.92|lucien agoume:3.15|pepelu:3.01|ruben garcia:2.88|iñigo ruiz de galarreta:2.69|iñigo vicente:2.71
2026-08-15T15:49Z,Albert Laporta,3-4-3,32.62,0,matias dituro:5.60|leandro cabrera:4.10|diego javier llorente:2.84|juan foyth:2.26|arda guler:3.90|marc roca:2.57|ilaix moriba:1.93|eduardo camavinga:1.24|ferran jutgla:3.71|raul moro:2.36|asier villalibre:2.11
2026-08-15T15:49Z,BurtonGM89,5-4-1,31.45,0,marko dmitrovic:5.74|carlos romero:4.15|justin de haas:2.80|quilindschy hartman:2.00|carlos puga:1.96|giacomo quagliata:1.40|santi comesaña:4.45|antonio blanco:3.92|denis suarez:1.70|tajon buchanan:1.30|karl etta eyong:2.04
2026-08-15T15:49Z,Magic Mike 333,3-4-3,32.45,0,alfonso herrero:3.49|kike salas:4.29|jose gaya:2.50|lucas noubi:2.24|brahim diaz:2.30|gustavo puerta:2.27|williot swedberg:2.24|marc bernal:2.23|raphinha:4.98|gorka guruzeta:3.71|pere milla:2.20
2026-08-15T15:49Z,SusoGattuso,4-4-2,29.37,0,wojciech szczesny:1.14|yuri berchiche:3.41|cesar tarrega:3.18|abdel abqar:2.60|jon aramburu:2.14|alvaro garcia:3.81|aimar oroz:2.75|lorenzo amatucci:2.27|izan merino:1.99|giuliano simeone:3.67|andres martin:2.41
2026-08-15T16:58Z,miguel_autentico,4-5-1,35.37,0,ionut radu:5.94|carl starfelt:3.07|igor zubeldia:2.96|robin le normand:2.62|omar el hilali:2.42|jon moncayola:3.92|lucien agoume:3.15|pepelu:3.01|ruben garcia:2.88|iñigo ruiz de galarreta:2.69|iñigo vicente:2.71
2026-08-15T16:58Z,Albert Laporta,3-4-3,32.62,0,matias dituro:5.60|leandro cabrera:4.10|diego javier llorente:2.84|juan foyth:2.26|arda guler:3.90|marc roca:2.57|ilaix moriba:1.93|eduardo camavinga:1.24|ferran jutgla:3.71|raul moro:2.36|asier villalibre:2.11
2026-08-15T16:58Z,BurtonGM89,5-4-1,31.45,0,marko dmitrovic:5.74|carlos romero:4.15|justin de haas:2.80|quilindschy hartman:2.00|carlos puga:1.96|giacomo quagliata:1.40|santi comesaña:4.45|antonio blanco:3.92|denis suarez:1.70|tajon buchanan:1.30|karl etta eyong:2.04
2026-08-15T16:58Z,Magic Mike 333,3-4-3,32.45,0,alfonso herrero:3.49|kike salas:4.29|jose gaya:2.50|lucas noubi:2.24|brahim diaz:2.30|gustavo puerta:2.27|williot swedberg:2.24|marc bernal:2.23|raphinha:4.98|gorka guruzeta:3.71|pere milla:2.20
2026-08-15T16:58Z,SusoGattuso,4-4-2,29.37,0,wojciech szczesny:1.14|yuri berchiche:3.41|cesar tarrega:3.18|abdel abqar:2.60|jon aramburu:2.14|alvaro garcia:3.81|aimar oroz:2.75|lorenzo amatucci:2.27|izan merino:1.99|giuliano simeone:3.67|andres martin:2.41
2026-08-15T22:19Z,miguel_autentico,4-5-1,38.98,0,ionut radu:5.96|carl starfelt:3.07|robin le normand:2.81|omar el hilali:2.75|igor zubeldia:1.98|pablo fornals:5.38|jon moncayola:4.46|lucien agoume:3.57|ruben garcia:3.28|pepelu:3.15|iñigo vicente:2.57
2026-08-15T22:19Z,Albert Laporta,4-3-3,35.02,1,matias dituro:5.28|leandro cabrera:4.66|santiago mouriño:3.29|juan foyth:2.40|diego javier llorente:2.35|arda guler:3.96|marc roca:2.55|ilaix moriba:1.93|ferran jutgla:3.72|raul moro:2.68|ayoze perez:2.19
2026-08-15T22:19Z,BurtonGM89,5-4-1,34.87,0,marko dmitrovic:6.53|carlos romero:4.41|justin de haas:2.93|quilindschy hartman:2.28|carlos puga:1.70|giacomo quagliata:1.63|santi comesaña:4.73|antonio blanco:4.05|denis suarez:3.17|tajon buchanan:1.38|karl etta eyong:2.07
2026-08-15T22:19Z,Magic Mike 333,3-4-3,33.69,0,alfonso herrero:3.03|kike salas:4.31|jose gaya:2.62|lucas noubi:2.61|marc bernal:2.40|brahim diaz:2.33|williot swedberg:2.24|gustavo puerta:2.17|raphinha:5.35|gorka guruzeta:4.12|pere milla:2.50
2026-08-15T22:19Z,SusoGattuso,4-4-2,36.07,0,wojciech szczesny:1.22|abdel abqar:4.27|yuri berchiche:3.80|cesar tarrega:3.33|jonny castro:2.81|alvaro garcia:5.36|mario martin:3.28|aimar oroz:3.14|lorenzo amatucci:2.65|giuliano simeone:3.93|andres martin:2.29
