day,run_at,action,key,name,ask,value,offer,last,horizon,max_bid,cash,why
2026-09-24,2026-09-24T16:07,BUY,7842,ferran jutgla,9635696,9830251,,2.0191068709515,9,10447245,18972225,"last update +2.0%; the history says at least +6.8% over the next 9 updates (147 similar cases on 30 different days); ask 9.64M, expect to pay ~10.33M"
2026-09-24,2026-09-24T16:07,BUY,9213,julen agirrezabala,24098012,24569567,,1.9568211684848,10,25897788,18972225,"last update +2.0%; the history says at least +5.9% over the next 10 updates (145 similar cases on 30 different days); ask 24.10M, expect to pay ~25.83M"
2026-09-24,2026-09-24T16:07,SELL,14118,ali houary,,892489,959027,-1.9642541337543,10,,18972225,"the app offers 959K against at most ~790K from holding 10 updates: 169K more, worth 0.1 season points at what the report's buys return, for the 0.0 he is expected to cost the season"
